,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
1886,0374155003,"(['  Hardcover  \n $21.99  \n\n\n   \n     9 Used from $17.00         3 Collectible from $34.25      ', '  Paperback  \n $17.00  \n\n\n   \n     7 Used from $7.89         12 New from $12.91      '], '0374155003')",17.0,21.99,Fires,Farrar Straus Giroux,0,1981,Marguerite Yourcenar,4.13,,,142.0,805,7,33,133,307,325
1888,0670885754,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.39  \n\n\n   \n     76 Used from $1.19         8 New from $5.99         3 Collectible from $6.95      ', '  Paperback  \n $60.80  \n\n\n   \n     7 Used from $51.08      ', '  Mass Market Paperback  \n $5.15  \n\n\n   \n     57 Used from $1.00         3 New from $5.15         2 Collectible from $4.25      ', '  MP3 CD  \n $11.89  \n\n\n   \n     4 New from $8.46      '], '0670885754')",60.8,11.39,One Last Dance,Viking Adult,5,1999,Eileen Goudge,3.85,"Fans won't have to wait any longer for a new Eileen Goudge novel. And One Last Dance will sweep them off their feet. With all the trademark allure and suspense that have made every one of her books since the blockbuster Garden of Lies ""a page-turner"" (New Woman), she has woven a heartrending story of startling passion around three sisters who must confront a tangle of family lies in the wake of a shocking tragedy.",,398.0,1424,21,98,365,525,415
1889,0807274259,"(['  Kindle  \n $6.42  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.99  \n\n\n   \n     27 Used from $3.46         18 New from $11.49      ', '  Paperback  \n $7.99  \n\n\n   \n     198 Used from $0.99         29 New from $4.99         7 Collectible from $5.29      ', '  Mass Market Paperback  \n    \n                             from $2,246.99                \n\n\n   \n     1 Used from $2,246.99         1 New from $2,246.99      '], '0807274259')",7.99,16.99,Sideways Stories from Wayside School,Listening Library,2,2000,Louis Sachar,4.15,"There'd been a terrible mistake. Wayside School was supposed to be built with thirty classrooms all next to each other in a row. Instead, they built the classrooms one on top of the other...thirty stories tall! (The builder said he was very sorry.)",,0.0,88465,1501,3454,15662,27306,40542
1890,3618680163,"(['  Kindle  \n $0.48  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $14.22  \n\n\n   \n     1 Used from $17.82         4 New from $9.33      ', '  Paperback  \n $29.21  \n\n\n   \n     6 Used from $22.91         8 New from $26.40      ', '  Audio CD  \n $25.56  \n\n\n   \n     1 Used from $25.56         5 New from $26.34      '], '3618680163')",29.21,14.22,Grimms Märchen: Text und Kommentar,Deutscher Klassiker Verlag,0,2007,Jacob Grimm,4.13,"»Tragen wir einen Dank davon für alle Mühe und Sorge, der uns selbst zu überdauern vermag, so ist es der für die Sammlung der Märchen«, so hat 1860 Jacob Grimm seines verstorbenen Bruders gedacht. Den Märchen verdanken die Grimms ihren Ruhm – dem meistaufgelegten weitestverbreiteten und bestbekannten deutschsprachigen Buch aller Zeiten. Indem sie auf der Suche waren nach dem echten und alten Volksmärchen, indem sie diesem sich, mit jedem Schritt ihrer Arbeit, zu nähern glaubten, schufen sie doch etwas anderes: eine ganz neue literarische Gattung, das Grimmsche Buchmärchen mit seinem kanonbildenden Repertoire und dem unverwechselbaren, fortan vorbildlichen Ton.<br /> <br />Die Edition bietet, ausgehend von der zentralen Ausgabe des Jahres 1837, sämtliche Grimmschen Märchen und die ihnen zugehörenden Original-Anmerkungen. Erschlossen werden Quellen, Motive und Bezüge dieses Werkes durch einen Kommentar des derzeit besten Kenners der Grimmschen Märchen.",,1302.0,23775,367,838,4350,7919,10301
1891,1568955812,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $35.90  \n\n\n   \n     4 Used from $8.53         1 New from $35.90      ', '  Paperback  \n $18.88  \n\n\n   \n     5 Used from $9.12         1 New from $18.88      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     77 Used from $1.17         7 New from $2.95      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 Used from $5.99         4 New from $8.76      ', '  Multimedia CD  \n    \n                             from $16.44                \n\n\n   \n     1 Used from $16.44      '], '1568955812')",18.88,35.9,Temptation's Kiss,Wheeler Publishing,0,1998,Sandra Brown,3.6,"Megan, young widow and workaholic at a television station, desperately tries to avoid her late husband's former boss - with whom she once shared a kiss - but Josh wants her again and will stop at nothing to have her.",,220.0,1920,52,205,656,555,452
1893,0684810948,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $10.30  \n\n\n   \n     57 Used from $1.89         5 New from $8.73         15 Collectible from $3.00      ', '  Paperback  \n $9.95  \n\n\n   \n     47 Used from $1.00         1 New from $49.95         1 Collectible from $4.25      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     24 Used from $2.00         1 New from $6.49         1 Collectible from $19.95      ', '  Audio, Cassette  \n $13.96  \n\n\n   \n     5 Used from $0.97      '], '0684810948')",9.95,10.3,The Intruder,Simon & Schuster,5,1996,Peter Blauner,3.51,"Sold to Hollywood for nearly $3 million, this blockbuster thriller pulls readers into its stranglehold of terror in the tradition of Cape Fear. Having survived a childhood of beatings and psychological torture, successful Manhattan lawyer Jacob Schiff cherishes his stable family life with his wife, a psychiatric social worker, and his son. But Jake sees it all unraveling when John Gates, a homeless man who has become his wife's patient, starts stalking her and menacing the family.",,400.0,662,24,79,232,188,139
1896,0708113850,"(['  Kindle  \n $0.60  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.65  \n\n\n   \n     1 New from $18.65      ', '  Paperback  \n $3.99  \n\n\n   \n     1 New from $3.99      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '0708113850')",3.99,18.65,The Tragical History Of Doctor Faustus,"Australian National University, Research School of Social Sciences",0,1982,Christopher Marlowe,3.8,"The Tragical History of the Life and Death of Doctor Faustus, commonly referred to simply as Doctor Faustus, is an Elizabethan tragedy by Christopher Marlowe, based on German stories about the title character Faust, that was first performed sometime between 1588 and Marlowe's death in 1593. Two different versions of the play were published in the Jacobean era, several years later. The powerful effect of early productions of the play is indicated by the legends that quickly accrued around them—that actual devils once appeared on the stage during a performance, ""to the great amazement of both the actors and spectators"", a sight that was said to have driven some spectators mad.",,140.0,54939,920,4037,14985,19974,15023
1897,0375408444,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $25.99  \n\n\n   \n     17 Used from $4.00         1 New from $25.99         1 Collectible from $20.00      ', '  Paperback  \n $18.70  \n\n\n   \n     5 Used from $2.15         2 New from $14.95      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     149 Used from $0.71         4 New from $4.49         2 Collectible from $4.25      ', '  Audio, Cassette  \n    \n                             from $4.95                \n\n\n   \n     6 Used from $4.95         2 New from $6.50      '], '0375408444')",18.7,25.99,Dark Lady,Random House Large Print,0,1999,Richard North Patterson,3.67,"In a steel-mill town on the verge of an economic comeback, two prominent men are found dead within days of each other. In each case, the known character of the man seems grossly more contradicted by the circumstances of his death. But, as assistant county prosecutor Stella Marz discovers, the victims and their deaths may be connected in ways that no one would ever suspect.",,608.0,2355,39,165,802,875,474
1898,0061238619,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $14.89  \n\n\n   \n     25 Used from $2.00         3 New from $10.00         14 Collectible from $7.00      ', '  Paperback  \n $14.99  \n\n\n   \n     32 Used from $1.40         21 New from $9.50      '], '0061238619')",14.99,14.89,City of Refuge,Harper,176,2008,Tom Piazza,4.02,"In <i>City of Refuge, </i>a heart-wrenching novel from Tom Piazza, the author of the award-winning <em>Why New Orleans Matters, </em>two New Orleans families—one black and one white—confront Hurricane Katrina, a storm that will change the course of their lives. Reaching across America—from the neighborhoods of New Orleans to Texas, Chicago, and elsewhere—<em>City of Refuge</em> explores this turning point in American culture, one whose reverberations are only beginning to be understood.",,416.0,1012,5,40,190,474,303
1899,0141182091,"(['  Hardcover  \n $44.00  \n\n\n   \n     3 Used from $44.00         1 Collectible from $32.00      ', '  Paperback  \n    \n                             from $21.96                \n\n\n   \n     4 Used from $21.96      ', '  Mass Market Paperback  \n $8.71  \n\n\n   \n     5 Used from $8.71         1 Collectible from $37.50      '], '0141182091')",8.71,44.0,The Ogre,Penguin Books Ltd,0,2000,Michel Tournier,4.06,"<i>The Ogre</i> follows the unusual life of an extraordinary Frenchman who becomes a prisoner of war in Second World War Germany, until he manages to ingratiate himself with his captors and becomes a hunting warden in Goring's private hunting domain.",,336.0,1701,41,79,306,587,688
1900,0060279370,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.03  \n\n\n   \n     16 Used from $2.07      ', '  Paperback  \n $4.99  \n\n\n   \n     100 Used from $1.15         24 New from $3.50         1 Collectible from $9.50      ', '  Audio CD  \n $30.89  \n\n\n   \n     5 Used from $29.66         2 New from $26.91      ', '  Foam Book  \n    \n                             from $74.99                \n\n\n   \n     1 New from $195.00         1 Collectible from $74.99      '], '0060279370')",4.99,6.03,Bathtime for Biscuit,HarperCollins,2,1998,Alyssa Satin Capucilli,4.13,"Everything is ready for Biscuit to take a bath'everything except Biscuit! After rolling in the mud and playing in the garden with his friend Puddles, will Biscuit ever get clean? Whether or not they share Biscuit's reluctance to take a bath, beginning readers will adore reading about his appealing antics in this My First I Can Read Book, the third in the best-selling series about the popular puppy.<br /><br /><br />“Another successful easy reader from the creators of Biscuit and <em>Biscuit Finds a Friend</em>. . . . A good choice for the youngest readers and listeners alike.”-- <em>School Library Journal </em>Woof, woof! It's Biscuit's bathtime, but this little puppy doesn't want to take a bath! Biscuit would rather roll in the dirt and play with his friend Puddleswill he ever get clean? The appealing illustrations perfectly match the humor of the simple text in this third My First I Can Read Book about the popular puppy. Emergent readers may recognize Biscuit's reluctance to take a bath, but they won't be able to resist Bathtime for Biscuit! 2001 Garden State Children's Book Award (Easy Rdr Cat.)",,32.0,1174,22,45,253,288,566
1901,0743507819,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $40.32  \n\n\n   \n     4 Used from $40.32         2 New from $94.82      ', '  Paperback  \n    \n                             from $2.41                \n\n\n   \n     2 Used from $13.68         1 New from $2.41      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     58 Used from $1.25         2 New from $7.49         3 Collectible from $4.25      ', '  Audio, Cassette  \n $4.49  \n\n\n   \n     6 Used from $3.50         2 New from $2.77      '], '0743507819')",5.95,40.32,The Music of the Spheres,Simon & Schuster Audio,1,2001,Elizabeth Redfern,3.23,"In the London of 1795, intrigue and death walk the dark streets. England is at war with its neighbor and nemesis, France, and espionage is rampant. It is the job of Jonathan Absey at the Home Office to catch these spies, but his mind is elsewhere, his dreams haunted by the still unsolved murder of his fifteen-year-old daughter on these same streets. Desperately pursuing both investigations, he stumbles across a strange society of astronomers called the Company of Titius who are on a furious search of their own: to discover a long-lost star in the wide black sky. As he digs into their arcane world, their quest begins to merge with his own, and Absey finds himself discovering more than he had ever imagined -- not only about spies and murderers but also about celestial numbers and the making of codes; about passions as unnatural as they are obsessive; and about the bonds of family...and the lengths we will go to preserve them.<br /><br />With ""The Music of the Spheres,"" Elizabeth Redfern emerges as an evocative and elegant writer of startling power, her gifts for characterization, atmosphere, narrative, and rich moral drama marking her as a new star in her own right.",,0.0,955,54,152,384,248,117
